"Designator","Mid X","Mid Y","Layer","Rotation"
"J5","172.3mm","-79.1mm","top","180.0"
"SW1","190mm","-78mm","top","270.0"
"J2","150.37mm","-89.15mm","top","0.0"
"J1","124.98mm","-89.15mm","top","0.0"
"J4","156.9mm","-78.8mm","top","90.0"
"U4","163mm","-125mm","top","270.0"
"U3","163mm","-107mm","top","270.0"
"U1","163mm","-89mm","top","270.0"
"J3","210.3mm","-105.3mm","top","0.0"
"C1","130.2mm","-89.7mm","top","270.0"
"C2","146.2mm","-89.4mm","top","270.0"
"C3","168.8mm","-83.8mm","top","90.0"
"C4","157mm","-83.9mm","top","90.0"
"C5","169.2mm","-101.3mm","top","90.0"
"C6","156.8mm","-101.4mm","top","90.0"
"C7","169.2mm","-119.5mm","top","90.0"
"C8","156.7mm","-119.7mm","top","90.0"
"R6","179.6mm","-83.8mm","top","180.0"
"C10","179.8mm","-78.1mm","top","270.0"
"C9","171.8mm","-83.7mm","top","270.0"
"R7","176.9mm","-95.2mm","top","0.0"
"R8","177mm","-91.8mm","top","0.0"
"R1","158.6mm","-94.5mm","top","180.0"
"R2","144.7mm","-122mm","top","90.0"
"R3","158.6mm","-112.7mm","top","180.0"
"R4","158.7mm","-130.4mm","top","180.0"
"R5","173.4mm","-82.9mm","bottom","-0.0"
