"Designator","Mid X","Mid Y","Layer","Rotation"
"J2","150.37mm","-89.15mm","top","0.0"
"J1","124.98mm","-89.15mm","top","0.0"
"J4","156.9mm","-78.8mm","top","90.0"
"J3","210.33mm","-105.25mm","top","0.0"
"L1","191.68mm","-119.59mm","top","0.0"
"R8","177.5mm","-91.55mm","top","0.0"
"R7","177.55mm","-95.15mm","top","0.0"
"R6","180.7mm","-84.15mm","top","0.0"
"R5","173.35mm","-86.7mm","top","0.0"
"J5","172.3mm","-79.1mm","top","180.0"
"C10","179.4mm","-78.6mm","top","90.0"
"C9","173.35mm","-83.3mm","top","0.0"
"U4","163mm","-125mm","top","270.0"
"U3","163mm","-107mm","top","270.0"
"U1","163mm","-89mm","top","270.0"
"R4","158.2mm","-130.45mm","top","0.0"
"R3","158mm","-112.65mm","top","0.0"
"R2","144.64mm","-123.08mm","top","270.0"
"R1","158.1mm","-94.5mm","top","0.0"
"C8","156.85mm","-119.8mm","top","90.0"
"C7","169.2mm","-119.75mm","top","90.0"
"C6","156.85mm","-101.85mm","top","90.0"
"C5","169.25mm","-101.85mm","top","90.0"
"C4","146.25mm","-89.9mm","top","90.0"
"C3","130.27mm","-89.89mm","top","270.0"
"C2","156.9mm","-84.3mm","top","90.0"
"C1","169.1mm","-84.3mm","top","90.0"
